CallNumber,CallType,CallDate,Battalion
200173067,Traffic Collision,01/17/2020,B07
200192121,Medical Incident,01/19/2020,B07
200220961,Medical Incident,01/22/2020,B09
200253095,Medical Incident,01/25/2020,B05
200033452,Medical Incident,01/03/2020,B08
200251859,Medical Incident,01/25/2020,B07
200122158,Medical Incident,01/12/2020,B03
200191919,Traffic Collision,01/19/2020,B08
200160017,Medical Incident,01/16/2020,B02
200272592,Medical Incident,01/27/2020,B06
200063317,Medical Incident,01/06/2020,B07
200322768,Alarms,02/01/2020,B06
200262478,Medical Incident,01/26/2020,B06
200311625,Structure Fire,01/31/2020,B05
200390180,Medical Incident,02/08/2020,B02
200332477,Structure Fire,02/02/2020,B01
200383727,Medical Incident,02/07/2020,B06
200341710,Medical Incident,02/03/2020,B06
200014053,Medical Incident,01/01/2020,B02
200064031,Structure Fire,01/06/2020,B03
200153879,Medical Incident,01/15/2020,B05
200272640,Medical Incident,01/27/2020,B03
200144082,Structure Fire,01/14/2020,B09
200032862,Medical Incident,01/03/2020,B06
200120265,Medical Incident,01/12/2020,B05
200350600,Medical Incident,02/04/2020,B08
200384002,Medical Incident,02/07/2020,B04
200181957,Medical Incident,01/18/2020,B04
200041429,Medical Incident,01/04/2020,B01
200052081,Medical Incident,01/05/2020,B03
200381908,Medical Incident,02/07/2020,B05
200071599,Medical Incident,01/07/2020,B10
200330986,Medical Incident,02/02/2020,B02
200293035,Medical Incident,01/29/2020,B04
200043274,Traffic Collision,01/04/2020,B02
200112337,Alarms,01/11/2020,B04
200043140,Medical Incident,01/04/2020,B07
200371544,Medical Incident,02/06/2020,B09
200062156,Medical Incident,01/06/2020,B06
200201816,Alarms,01/20/2020,B02
200213712,Medical Incident,01/21/2020,B05
200232358,Medical Incident,01/23/2020,B01
200192964,Medical Incident,01/19/2020,B06
200290498,Medical Incident,01/29/2020,B01
200311475,Medical Incident,01/31/2020,B02
200202837,Medical Incident,01/20/2020,B08
200031715,Medical Incident,01/03/2020,B04
200260611,Medical Incident,01/26/2020,B01
200072264,Medical Incident,01/07/2020,B09
200031760,Medical Incident,01/03/2020,B05
200011057,Medical Incident,01/01/2020,B02
200152794,Medical Incident,01/15/2020,B02
200323400,Elevator / Escalator Rescue,02/01/2020,B04
200211155,Medical Incident,01/21/2020,B03
200102846,Medical Incident,01/10/2020,B01
200084188,Medical Incident,01/08/2020,B09
200010617,Structure Fire,01/01/2020,B04
200102801,Medical Incident,01/10/2020,B03
200352907,Medical Incident,02/04/2020,B10
200070299,Medical Incident,01/07/2020,B05
200340376,Medical Incident,02/03/2020,B03
200150183,Traffic Collision,01/15/2020,B09
200090942,Alarms,01/09/2020,B03
200400564,Medical Incident,02/09/2020,B07
200061411,Outside Fire,01/06/2020,B01
200050435,Medical Incident,01/05/2020,B09
200223286,Medical Incident,01/22/2020,B09
200022316,Medical Incident,01/02/2020,B02
200241507,Alarms,01/24/2020,B01
200210428,Medical Incident,01/21/2020,B09
200153060,Medical Incident,01/15/2020,B03
200213038,Medical Incident,01/21/2020,B03
200380277,Structure Fire,02/07/2020,B02
200294239,Citizen Assist / Service Call,01/29/2020,B06
200222438,Medical Incident,01/22/2020,B02
200202147,Medical Incident,01/20/2020,B03
200232424,Medical Incident,01/23/2020,B03
200010617,Structure Fire,01/01/2020,B04
200393814,Medical Incident,02/08/2020,B06
200313543,Medical Incident,01/31/2020,B06
200330873,Citizen Assist / Service Call,02/02/2020,B04
200092237,Medical Incident,01/09/2020,B09
200383269,Medical Incident,02/07/2020,B03
200012348,Medical Incident,01/01/2020,B08
200332286,Medical Incident,02/02/2020,B06
200392303,Medical Incident,02/08/2020,B02
200132524,Medical Incident,01/13/2020,B08
200010450,Medical Incident,01/01/2020,B09
200083854,Gas Leak (Natural and LP Gases),01/08/2020,B01
200133324,Medical Incident,01/13/2020,B02
200310470,Alarms,01/31/2020,B04
200402097,Medical Incident,02/09/2020,B02
200102685,Elevator / Escalator Rescue,01/10/2020,B02
200012071,Medical Incident,01/01/2020,B09
200050572,Structure Fire,01/05/2020,B04
200360018,Medical Incident,02/05/2020,B09
200170497,Medical Incident,01/17/2020,B03
200202468,Alarms,01/20/2020,B03
200232566,Medical Incident,01/23/2020,B04
200062919,Medical Incident,01/06/2020,B02
200011619,Medical Incident,01/01/2020,B05
200213276,Medical Incident,01/21/2020,B06
200350166,Medical Incident,02/04/2020,B02
200373161,Medical Incident,02/06/2020,B06
200140324,Citizen Assist / Service Call,01/14/2020,B08
200401485,Structure Fire,02/09/2020,B09
200080429,Medical Incident,01/08/2020,B02
200390536,Medical Incident,02/08/2020,B07
200022081,Medical Incident,01/02/2020,B04
200370297,Citizen Assist / Service Call,02/06/2020,B03
200102998,Medical Incident,01/10/2020,B02
200050572,Structure Fire,01/05/2020,B04
200342131,Structure Fire,02/03/2020,B09
200290224,Traffic Collision,01/29/2020,B05
200071097,Medical Incident,01/07/2020,B03
200281920,Structure Fire,01/28/2020,B02
200021046,Medical Incident,01/02/2020,B01
200082363,Medical Incident,01/08/2020,B02
200203384,Medical Incident,01/20/2020,B10
200201244,Alarms,01/20/2020,B02
200273702,Medical Incident,01/27/2020,B10
200154275,Medical Incident,01/15/2020,B05
200051787,Medical Incident,01/05/2020,B03
200320770,Structure Fire,02/01/2020,B02
200180530,Alarms,01/18/2020,B03
200321407,Medical Incident,02/01/2020,B01
200372292,Medical Incident,02/06/2020,B06
200292285,Medical Incident,01/29/2020,B03
200073206,Structure Fire,01/07/2020,B03
200161512,Traffic Collision,01/16/2020,B02
200060973,Medical Incident,01/06/2020,B03
200051485,Medical Incident,01/05/2020,B01
200030970,Medical Incident,01/03/2020,B02
200024075,Medical Incident,01/02/2020,B05
200083730,Structure Fire,01/08/2020,B01
200342587,Medical Incident,02/03/2020,B08
200303636,Medical Incident,01/30/2020,B07
200014122,Medical Incident,01/01/2020,B04
200132907,Medical Incident,01/13/2020,B09
200310954,Medical Incident,01/31/2020,B10
200120736,Medical Incident,01/12/2020,B10
200160142,Medical Incident,01/16/2020,B10
200030904,Traffic Collision,01/03/2020,B09
200120131,Alarms,01/12/2020,B03
200331502,Medical Incident,02/02/2020,B08
200252919,Medical Incident,01/25/2020,B01
200130816,Medical Incident,01/13/2020,B01
200101711,Medical Incident,01/10/2020,B05
200252304,Medical Incident,01/25/2020,B03
200281012,Medical Incident,01/28/2020,B03
200221314,Medical Incident,01/22/2020,B02
200042855,Medical Incident,01/04/2020,B01
200251533,Medical Incident,01/25/2020,B02
200110442,Medical Incident,01/11/2020,B09
200051988,Medical Incident,01/05/2020,B04
200110397,Outside Fire,01/11/2020,B03
200133245,Medical Incident,01/13/2020,B02
200140578,Medical Incident,01/14/2020,B02
200021435,Alarms,01/02/2020,B09
200160359,Medical Incident,01/16/2020,B03
200380357,Medical Incident,02/07/2020,B01
200161630,Traffic Collision,01/16/2020,B10
200073941,Medical Incident,01/07/2020,B03
200200503,Medical Incident,01/20/2020,B04
200241275,Medical Incident,01/24/2020,B02
200330385,Alarms,02/02/2020,B04
200110168,Medical Incident,01/11/2020,B02
200200056,Medical Incident,01/20/2020,B02
200191455,Medical Incident,01/19/2020,B03
200100012,Structure Fire,01/10/2020,B06
200212355,Gas Leak (Natural and LP Gases),01/21/2020,B04
200073282,Medical Incident,01/07/2020,B03
200310543,Medical Incident,01/31/2020,B02
200120519,Traffic Collision,01/12/2020,B09
200032156,Medical Incident,01/03/2020,B03
200072075,Medical Incident,01/07/2020,B10
200383361,Medical Incident,02/07/2020,B03
200273075,Medical Incident,01/27/2020,B02
200241952,Medical Incident,01/24/2020,B03
200390369,Structure Fire,02/08/2020,B02
200393262,Medical Incident,02/08/2020,B03
200233708,Alarms,01/23/2020,B03
200301037,Medical Incident,01/30/2020,B02
200043349,Medical Incident,01/04/2020,B03
200190409,Medical Incident,01/19/2020,B03
200213863,Medical Incident,01/21/2020,B02
200132619,Alarms,01/13/2020,B01
200231719,Medical Incident,01/23/2020,B02
200330484,Medical Incident,02/02/2020,B04
200262679,Medical Incident,01/26/2020,B05
200043810,Medical Incident,01/04/2020,B09
200222558,Medical Incident,01/22/2020,B03
200022960,Citizen Assist / Service Call,01/02/2020,B09
200353286,Medical Incident,02/04/2020,B03
200060846,Medical Incident,01/06/2020,B01
200050615,Medical Incident,01/05/2020,B03
200012806,Medical Incident,01/01/2020,B08
200372712,Medical Incident,02/06/2020,B02
200223939,Structure Fire,01/22/2020,B02
200103755,Medical Incident,01/10/2020,B03
200120541,Medical Incident,01/12/2020,B08
200172412,Medical Incident,01/17/2020,B09
200270750,Elevator / Escalator Rescue,01/27/2020,B01
200393235,Medical Incident,02/08/2020,B03
200063913,Traffic Collision,01/06/2020,B02
200141588,Medical Incident,01/14/2020,B05
200330833,Medical Incident,02/02/2020,B01
200190952,Medical Incident,01/19/2020,B04
200213123,Traffic Collision,01/21/2020,B09
200362164,Medical Incident,02/05/2020,B02
200353740,Medical Incident,02/04/2020,B06
200282119,Medical Incident,01/28/2020,B02
200192547,Medical Incident,01/19/2020,B07
200321203,Traffic Collision,02/01/2020,B08
200011133,Outside Fire,01/01/2020,B10
200070416,Medical Incident,01/07/2020,B01
200013775,Structure Fire,01/01/2020,B10
200180113,Structure Fire,01/18/2020,B03
200221139,Medical Incident,01/22/2020,B02
200261064,Elevator / Escalator Rescue,01/26/2020,B01
200190649,Medical Incident,01/19/2020,B04
200270330,Medical Incident,01/27/2020,B05
200320225,Medical Incident,02/01/2020,B04
200151273,Citizen Assist / Service Call,01/15/2020,B08
200212001,Medical Incident,01/21/2020,B09
200201279,Medical Incident,01/20/2020,B02
200020362,Medical Incident,01/02/2020,B02
200013775,Structure Fire,01/01/2020,B10
200351565,Medical Incident,02/04/2020,B04
200052504,Medical Incident,01/05/2020,B03
200183125,Medical Incident,01/18/2020,B05
200062070,Medical Incident,01/06/2020,B02
200050615,Medical Incident,01/05/2020,B03
200253035,Medical Incident,01/25/2020,B06
200273283,Medical Incident,01/27/2020,B08
200152338,Structure Fire,01/15/2020,B07
200013125,Alarms,01/01/2020,B02
200211599,Structure Fire,01/21/2020,B01
200310272,Structure Fire,01/31/2020,B08
200312763,Medical Incident,01/31/2020,B04
200011671,Medical Incident,01/01/2020,B03
200360956,Structure Fire,02/05/2020,B04
200142053,Medical Incident,01/14/2020,B05
200090752,Medical Incident,01/09/2020,B03
200313520,Medical Incident,01/31/2020,B09
200331247,Medical Incident,02/02/2020,B06
200211636,Medical Incident,01/21/2020,B01
200192039,Medical Incident,01/19/2020,B10
200311092,Medical Incident,01/31/2020,B03
200073266,Medical Incident,01/07/2020,B04
200281889,Medical Incident,01/28/2020,B01
200294425,Medical Incident,01/29/2020,B04
200281815,Alarms,01/28/2020,B06
200122738,Alarms,01/12/2020,B09
200230819,Alarms,01/23/2020,B06
200133160,Smoke Investigation (Outside),01/13/2020,B10
200390570,Medical Incident,02/08/2020,B06
200340159,Vehicle Fire,02/03/2020,B02
200391905,Medical Incident,02/08/2020,B03
200361633,Medical Incident,02/05/2020,B03
200122806,Medical Incident,01/12/2020,B06
200390756,Medical Incident,02/08/2020,B05
200333555,Medical Incident,02/02/2020,B02
200133763,Medical Incident,01/13/2020,B01
200241307,Medical Incident,01/24/2020,B10
200220233,Medical Incident,01/22/2020,B09
200160375,Medical Incident,01/16/2020,B02
200063750,Structure Fire,01/06/2020,B04
200010489,Medical Incident,01/01/2020,B04
200342399,Medical Incident,02/03/2020,B05
200360095,Vehicle Fire,02/05/2020,B10
200012138,Medical Incident,01/01/2020,B01
200010309,Medical Incident,01/01/2020,B03
200312952,Medical Incident,01/31/2020,B02
200351605,Medical Incident,02/04/2020,B05
200154082,Medical Incident,01/15/2020,B03
200400254,Medical Incident,02/09/2020,B01
200212495,Structure Fire,01/21/2020,B02
200121752,Medical Incident,01/12/2020,B03
200280793,Medical Incident,01/28/2020,B05
200401097,Medical Incident,02/09/2020,B08
200252637,Medical Incident,01/25/2020,B06
200021254,Medical Incident,01/02/2020,B05
200043410,Medical Incident,01/04/2020,B03
200351690,Medical Incident,02/04/2020,B03
200010936,Medical Incident,01/01/2020,B03
200022857,Medical Incident,01/02/2020,B06
200040658,Citizen Assist / Service Call,01/04/2020,B03
200172658,Medical Incident,01/17/2020,B02
200371654,Alarms,02/06/2020,B04
200272362,Medical Incident,01/27/2020,B09
200172330,Medical Incident,01/17/2020,B02
200241086,Structure Fire,01/24/2020,B01
200033136,Medical Incident,01/03/2020,B10
200120321,Medical Incident,01/12/2020,B02
200383889,Medical Incident,02/07/2020,B05
200132123,Medical Incident,01/13/2020,B08
200050864,Medical Incident,01/05/2020,B09
200211035,Medical Incident,01/21/2020,B08
200153039,Medical Incident,01/15/2020,B03
200401293,Alarms,02/09/2020,B10
200162767,Medical Incident,01/16/2020,B02
200083970,Medical Incident,01/08/2020,B04
200042796,Medical Incident,01/04/2020,B04
200280943,Medical Incident,01/28/2020,B06
200303442,Medical Incident,01/30/2020,B08
200300791,Medical Incident,01/30/2020,B01
200182737,Medical Incident,01/18/2020,B09
200171535,Alarms,01/17/2020,B06
200212790,Medical Incident,01/21/2020,B09
200033360,Medical Incident,01/03/2020,B02
200212936,Medical Incident,01/21/2020,B02
200362508,Medical Incident,02/05/2020,B07
200071257,Medical Incident,01/07/2020,B04
200113343,Medical Incident,01/11/2020,B02
200361603,Medical Incident,02/05/2020,B09
200171689,Medical Incident,01/17/2020,B02
200272660,Medical Incident,01/27/2020,B03
200323356,Alarms,02/01/2020,B02
200090653,Medical Incident,01/09/2020,B09
200052814,Medical Incident,01/05/2020,B08
200292547,Medical Incident,01/29/2020,B08
200042263,Medical Incident,01/04/2020,B08
200270355,Medical Incident,01/27/2020,B06
200393011,Medical Incident,02/08/2020,B02
200251850,Medical Incident,01/25/2020,B08
200181406,Medical Incident,01/18/2020,B03
200291849,Medical Incident,01/29/2020,B01
200201543,Medical Incident,01/20/2020,B03
200350424,Medical Incident,02/04/2020,B09
200081080,Medical Incident,01/08/2020,B02
200170400,Medical Incident,01/17/2020,B06
200062757,Alarms,01/06/2020,B01
200042401,Structure Fire,01/04/2020,B01
200212103,Medical Incident,01/21/2020,B01
200192414,Medical Incident,01/19/2020,B03
200050171,Alarms,01/05/2020,B02
200110805,Medical Incident,01/11/2020,B02
200223129,Alarms,01/22/2020,B05
200020291,Medical Incident,01/02/2020,B07
200041849,Traffic Collision,01/04/2020,B04
200190779,Medical Incident,01/19/2020,B02
200050533,Medical Incident,01/05/2020,B01
200372444,Medical Incident,02/06/2020,B07
200300041,Medical Incident,01/30/2020,B05
200322630,Medical Incident,02/01/2020,B02
200090315,Medical Incident,01/09/2020,B09
200032361,Medical Incident,01/03/2020,B02
200262226,Medical Incident,01/26/2020,B05
200112996,Medical Incident,01/11/2020,B06
200360712,Structure Fire,02/05/2020,B06
200211679,HazMat,01/21/2020,B02
200373131,Medical Incident,02/06/2020,B01
200012909,Medical Incident,01/01/2020,B10
200020772,Medical Incident,01/02/2020,B06
200332391,Medical Incident,02/02/2020,B03
200083614,Medical Incident,01/08/2020,B08
200172994,Structure Fire,01/17/2020,B06
200021638,Medical Incident,01/02/2020,B05
200260591,Medical Incident,01/26/2020,B10
200083173,Alarms,01/08/2020,B01
200400086,Medical Incident,02/09/2020,B06
200313894,Alarms,01/31/2020,B05
200182116,Medical Incident,01/18/2020,B06
200013382,High Angle Rescue,01/01/2020,B04
200212806,Medical Incident,01/21/2020,B04
200171931,Medical Incident,01/17/2020,B10
200083751,Alarms,01/08/2020,B06
200021638,Medical Incident,01/02/2020,B05
200323437,Medical Incident,02/01/2020,B01
200342962,Electrical Hazard,02/03/2020,B09
200343737,Alarms,02/03/2020,B05
200132364,Alarms,01/13/2020,B03
200342877,Medical Incident,02/03/2020,B03
200033919,Medical Incident,01/03/2020,B04
200201662,Medical Incident,01/20/2020,B08
200353464,Medical Incident,02/04/2020,B01
200340590,Medical Incident,02/03/2020,B03
200191570,Medical Incident,01/19/2020,B03
200094269,Medical Incident,01/09/2020,B03
200343208,Medical Incident,02/03/2020,B08
200203278,Medical Incident,01/20/2020,B07
200201503,Medical Incident,01/20/2020,B08
200123471,Medical Incident,01/12/2020,B03
200032410,Medical Incident,01/03/2020,B07
200260779,Medical Incident,01/26/2020,B03
200330009,Medical Incident,02/02/2020,B02
200052094,Medical Incident,01/05/2020,B06
200090494,Medical Incident,01/09/2020,B03
200223538,Medical Incident,01/22/2020,B01
200292953,Medical Incident,01/29/2020,B01
200312733,Structure Fire,01/31/2020,B03
200311056,Medical Incident,01/31/2020,B03
200181275,Medical Incident,01/18/2020,B05
200081494,Medical Incident,01/08/2020,B01
200213476,Medical Incident,01/21/2020,B10
200101058,Medical Incident,01/10/2020,B02
200351337,Medical Incident,02/04/2020,B08
200353608,Medical Incident,02/04/2020,B06
200101136,Medical Incident,01/10/2020,B05
200310476,Structure Fire,01/31/2020,B10
200363291,Medical Incident,02/05/2020,B05
200090290,Medical Incident,01/09/2020,B03
200091109,Medical Incident,01/09/2020,B07
200020389,Medical Incident,01/02/2020,B04
200200356,Medical Incident,01/20/2020,B03
200353059,Medical Incident,02/04/2020,B06
200290098,Medical Incident,01/29/2020,B06
200033392,Medical Incident,01/03/2020,B02
200040706,Medical Incident,01/04/2020,B03
200383541,Medical Incident,02/07/2020,B02
200242953,Medical Incident,01/24/2020,B05
200211187,Medical Incident,01/21/2020,B09
200351398,Medical Incident,02/04/2020,B05
200010154,Medical Incident,01/01/2020,B02
200230241,Medical Incident,01/23/2020,B02
200211679,HazMat,01/21/2020,B02
200122344,Medical Incident,01/12/2020,B05
200290288,Medical Incident,01/29/2020,B03
200222955,Medical Incident,01/22/2020,B02
200180046,Medical Incident,01/18/2020,B08
200201640,Medical Incident,01/20/2020,B03
200012098,Alarms,01/01/2020,B05
200053054,Structure Fire,01/05/2020,B09
200321470,Structure Fire,02/01/2020,B01
200310875,Medical Incident,01/31/2020,B09
200331679,Traffic Collision,02/02/2020,B03
200090830,Medical Incident,01/09/2020,B04
200281094,Medical Incident,01/28/2020,B02
200160733,Medical Incident,01/16/2020,B03
200363500,Medical Incident,02/05/2020,B02
200342503,Medical Incident,02/03/2020,B07
200190534,Medical Incident,01/19/2020,B03
200313681,Medical Incident,01/31/2020,B03
200152531,Medical Incident,01/15/2020,B01
200252374,Medical Incident,01/25/2020,B02
200272885,Outside Fire,01/27/2020,B10
200081570,Medical Incident,01/08/2020,B09
200112794,Medical Incident,01/11/2020,B02
200201684,Medical Incident,01/20/2020,B04
200172518,Medical Incident,01/17/2020,B02
200400336,Medical Incident,02/09/2020,B10
200372831,Medical Incident,02/06/2020,B10
200160736,Medical Incident,01/16/2020,B03
200171712,Alarms,01/17/2020,B09
200080282,Alarms,01/08/2020,B04
200050033,Medical Incident,01/05/2020,B09
200363888,Alarms,02/05/2020,B09
200032859,Traffic Collision,01/03/2020,B07
200130932,Medical Incident,01/13/2020,B03
200151586,Medical Incident,01/15/2020,B10
200040087,Structure Fire,01/04/2020,B08
200023016,Traffic Collision,01/02/2020,B01
200091747,Medical Incident,01/09/2020,B03
200050736,Traffic Collision,01/05/2020,B06
200072228,Structure Fire,01/07/2020,B03
200140942,Alarms,01/14/2020,B03
200201822,Structure Fire,01/20/2020,B02
200032278,Medical Incident,01/03/2020,B10
200333280,Medical Incident,02/02/2020,B02
200234055,Traffic Collision,01/23/2020,B02
200071936,Structure Fire,01/07/2020,B01
200280232,Alarms,01/28/2020,B03
200072575,Medical Incident,01/07/2020,B10
200201533,Medical Incident,01/20/2020,B01
200193695,Medical Incident,01/19/2020,B06
200220333,Alarms,01/22/2020,B02
200100006,Medical Incident,01/10/2020,B02
200342673,Medical Incident,02/03/2020,B02
200310193,Vehicle Fire,01/31/2020,B10
200201254,Alarms,01/20/2020,B02
200372068,Medical Incident,02/06/2020,B05
200080692,Medical Incident,01/08/2020,B03
200361856,Medical Incident,02/05/2020,B06
200362826,Structure Fire,02/05/2020,B05
200191259,Medical Incident,01/19/2020,B03
200263109,Medical Incident,01/26/2020,B05
200400448,Medical Incident,02/09/2020,B10
200162261,Medical Incident,01/16/2020,B04
200112463,Medical Incident,01/11/2020,B02
200132790,Medical Incident,01/13/2020,B02
200282152,Medical Incident,01/28/2020,B10
200091292,Medical Incident,01/09/2020,B10
200213227,Traffic Collision,01/21/2020,B10
200030251,Medical Incident,01/03/2020,B04
200091323,Medical Incident,01/09/2020,B01
200151370,Gas Leak (Natural and LP Gases),01/15/2020,B01
200361187,Smoke Investigation (Outside),02/05/2020,B09
200333197,Gas Leak (Natural and LP Gases),02/02/2020,B07
200023482,Medical Incident,01/02/2020,B04
200041501,Medical Incident,01/04/2020,B02
200010588,Medical Incident,01/01/2020,B03
200320770,Structure Fire,02/01/2020,B02
200330932,Medical Incident,02/02/2020,B09
200170418,Medical Incident,01/17/2020,B03
200232590,Medical Incident,01/23/2020,B04
200370303,Medical Incident,02/06/2020,B04
200040819,Structure Fire,01/04/2020,B02
200180113,Structure Fire,01/18/2020,B03
200050269,Medical Incident,01/05/2020,B09
200333343,Medical Incident,02/02/2020,B03
200182550,Medical Incident,01/18/2020,B03
200291916,Alarms,01/29/2020,B04
200060913,Medical Incident,01/06/2020,B08
200032514,Medical Incident,01/03/2020,B03
200330621,Medical Incident,02/02/2020,B04
200251452,Medical Incident,01/25/2020,B06
200252428,Medical Incident,01/25/2020,B02
200362781,Medical Incident,02/05/2020,B03
200282302,Alarms,01/28/2020,B02
200140154,Citizen Assist / Service Call,01/14/2020,B01
200021325,Medical Incident,01/02/2020,B08
200020480,Alarms,01/02/2020,B04
200313406,Alarms,01/31/2020,B03
200281437,Medical Incident,01/28/2020,B04
200261377,Medical Incident,01/26/2020,B03
200030904,Traffic Collision,01/03/2020,B09
200271301,Outside Fire,01/27/2020,B10
200140371,Medical Incident,01/14/2020,B04
200243173,Medical Incident,01/24/2020,B03
200281539,Medical Incident,01/28/2020,B01
200290368,Traffic Collision,01/29/2020,B09
200243652,Alarms,01/24/2020,B01
200222412,Medical Incident,01/22/2020,B03
200243852,Medical Incident,01/24/2020,B02
200212495,Structure Fire,01/21/2020,B02
200330181,Medical Incident,02/02/2020,B09
200350858,Medical Incident,02/04/2020,B10
200012242,Medical Incident,01/01/2020,B06
200261696,Structure Fire,01/26/2020,B05
200154166,Medical Incident,01/15/2020,B02
200260872,Medical Incident,01/26/2020,B01
200014080,Medical Incident,01/01/2020,B02
200331130,Alarms,02/02/2020,B03
200243460,Medical Incident,01/24/2020,B01
200172474,Medical Incident,01/17/2020,B01
200063584,Outside Fire,01/06/2020,B02
